[sweep] loading /Volumes/BUF_2T_02/models/gemma-4-E4B-it-MLX-8bit
[sweep] model: Model  layers: 42  path: gemma-4-E4B-it-MLX-8bit
[113/150] comp_008 seed=42 ... tok=40 tps=6.1 correct=False
[114/150] comp_008 seed=123 ... tok=40 tps=6.2 correct=False
[115/150] comp_009 seed=7 ... tok=20 tps=5.5 correct=True
[116/150] comp_009 seed=42 ... tok=20 tps=5.5 correct=True
[117/150] comp_009 seed=123 ... tok=20 tps=5.4 correct=True
[118/150] comp_010 seed=7 ... tok=28 tps=5.5 correct=True
[119/150] comp_010 seed=42 ... tok=28 tps=5.4 correct=True
[120/150] comp_010 seed=123 ... tok=28 tps=5.2 correct=True
[121/150] multi_001 seed=7 ... tok=52 tps=5.6 correct=False
[122/150] multi_001 seed=42 ... tok=60 tps=5.9 correct=False
[123/150] multi_001 seed=123 ... tok=60 tps=5.9 correct=False
[124/150] multi_002 seed=7 ... tok=40 tps=5.2 correct=False
[125/150] multi_002 seed=42 ... tok=40 tps=5.7 correct=False
[126/150] multi_002 seed=123 ... tok=40 tps=5.0 correct=False
[127/150] multi_003 seed=7 ... tok=96 tps=6.4 correct=False
[128/150] multi_003 seed=42 ... tok=96 tps=6.6 correct=False
[129/150] multi_003 seed=123 ... tok=96 tps=6.9 correct=False
[130/150] multi_004 seed=7 ... tok=72 tps=6.9 correct=False
[131/150] multi_004 seed=42 ... tok=72 tps=6.8 correct=False
[132/150] multi_004 seed=123 ... tok=72 tps=6.8 correct=False
[133/150] multi_005 seed=7 ... tok=44 tps=6.4 correct=True
[134/150] multi_005 seed=42 ... tok=44 tps=6.2 correct=True
[135/150] multi_005 seed=123 ... tok=44 tps=6.0 correct=True
[136/150] multi_006 seed=7 ... tok=40 tps=6.2 correct=False
[137/150] multi_006 seed=42 ... tok=52 tps=6.5 correct=False
[138/150] multi_006 seed=123 ... tok=40 tps=5.9 correct=False
[139/150] multi_007 seed=7 ... tok=40 tps=5.9 correct=True
[140/150] multi_007 seed=42 ... tok=40 tps=6.0 correct=True
[141/150] multi_007 seed=123 ... tok=40 tps=6.2 correct=True
[142/150] multi_008 seed=7 ... tok=24 tps=5.4 correct=True
[143/150] multi_008 seed=42 ... tok=24 tps=5.2 correct=True
[144/150] multi_008 seed=123 ... tok=72 tps=6.7 correct=True
[145/150] multi_009 seed=7 ... tok=32 tps=5.9 correct=True
[146/150] multi_009 seed=42 ... tok=32 tps=5.7 correct=True
[147/150] multi_009 seed=123 ... tok=32 tps=5.9 correct=True
[148/150] multi_010 seed=7 ... tok=24 tps=6.0 correct=True
[149/150] multi_010 seed=42 ... tok=24 tps=5.8 correct=True
[150/150] multi_010 seed=123 ... tok=24 tps=5.6 correct=True
[sweep] wrote results/gemma-4-E4B-nothinking/captures.json (150 captures, 93 correct)
[sweep] wrote layer_ranking.md / .json
{
  "n_layers": 42,
  "n_runs": 150,
  "n_correct": 93,
  "accuracy": 0.62,
  "elapsed_s": 789.3943906249478,
  "use_chat_template": true,
  "enable_thinking": false,
  "stop_sequences": [
    "<turn|>",
    "<|end|>"
  ]
}
