[sweep] loading /Volumes/BUF_2T_02/QwenMLB/models/Qwen3.5-4B-MLX-4bit
[sweep] model: Model  layers: 32  path: Qwen3.5-4B-MLX-4bit
[69/150] count_003 seed=123 ... tok=8 tps=4.6 correct=True
[70/150] count_004 seed=7 ... tok=15 tps=6.9 correct=True
[71/150] count_004 seed=42 ... tok=15 tps=6.6 correct=False
[72/150] count_004 seed=123 ... tok=15 tps=7.3 correct=False
[73/150] count_005 seed=7 ... tok=11 tps=5.3 correct=True
[74/150] count_005 seed=42 ... tok=11 tps=5.1 correct=True
[75/150] count_005 seed=123 ... tok=11 tps=4.8 correct=True
[76/150] count_006 seed=7 ... tok=6 tps=3.9 correct=True
[77/150] count_006 seed=42 ... tok=6 tps=4.2 correct=True
[78/150] count_006 seed=123 ... tok=6 tps=4.3 correct=True
[79/150] count_007 seed=7 ... tok=36 tps=11.0 correct=True
[80/150] count_007 seed=42 ... tok=36 tps=10.9 correct=True
[81/150] count_007 seed=123 ... tok=36 tps=10.8 correct=True
[82/150] count_008 seed=7 ... tok=8 tps=5.3 correct=True
[83/150] count_008 seed=42 ... tok=8 tps=4.8 correct=True
[84/150] count_008 seed=123 ... tok=8 tps=5.0 correct=True
[85/150] count_009 seed=7 ... tok=56 tps=11.0 correct=False
[86/150] count_009 seed=42 ... tok=48 tps=10.0 correct=False
[87/150] count_009 seed=123 ... tok=48 tps=9.3 correct=False
[88/150] count_010 seed=7 ... tok=24 tps=7.8 correct=False
[89/150] count_010 seed=42 ... tok=24 tps=7.5 correct=False
[90/150] count_010 seed=123 ... tok=24 tps=7.2 correct=False
[91/150] comp_001 seed=7 ... tok=44 tps=8.9 correct=True
[92/150] comp_001 seed=42 ... tok=52 tps=8.2 correct=True
[93/150] comp_001 seed=123 ... tok=44 tps=10.5 correct=True
[94/150] comp_002 seed=7 ... tok=32 tps=8.1 correct=True
[95/150] comp_002 seed=42 ... tok=32 tps=9.2 correct=True
[96/150] comp_002 seed=123 ... tok=32 tps=9.6 correct=True
[97/150] comp_003 seed=7 ... tok=28 tps=9.0 correct=False
[98/150] comp_003 seed=42 ... tok=28 tps=8.9 correct=False
[99/150] comp_003 seed=123 ... tok=28 tps=9.1 correct=False
[100/150] comp_004 seed=7 ... tok=80 tps=11.2 correct=False
[101/150] comp_004 seed=42 ... tok=60 tps=10.1 correct=False
[102/150] comp_004 seed=123 ... tok=32 tps=9.3 correct=False
[103/150] comp_005 seed=7 ... tok=68 tps=11.4 correct=True
[104/150] comp_005 seed=42 ... tok=52 tps=10.8 correct=True
[105/150] comp_005 seed=123 ... tok=68 tps=7.5 correct=True
[106/150] comp_006 seed=7 ... tok=28 tps=7.7 correct=False
[107/150] comp_006 seed=42 ... tok=32 tps=9.5 correct=False
[108/150] comp_006 seed=123 ... tok=32 tps=9.4 correct=False
[109/150] comp_007 seed=7 ... tok=32 tps=9.4 correct=True
[110/150] comp_007 seed=42 ... tok=32 tps=9.3 correct=True
[111/150] comp_007 seed=123 ... tok=32 tps=9.2 correct=True
[112/150] comp_008 seed=7 ... tok=44 tps=9.7 correct=False
[113/150] comp_008 seed=42 ... tok=44 tps=9.4 correct=False
[114/150] comp_008 seed=123 ... tok=44 tps=9.7 correct=False
[115/150] comp_009 seed=7 ... tok=9 tps=5.5 correct=True
[116/150] comp_009 seed=42 ... tok=9 tps=5.3 correct=True
[117/150] comp_009 seed=123 ... tok=9 tps=5.6 correct=True
[118/150] comp_010 seed=7 ... tok=48 tps=9.8 correct=True
[119/150] comp_010 seed=42 ... tok=36 tps=8.6 correct=True
[120/150] comp_010 seed=123 ... tok=48 tps=10.6 correct=True
[121/150] multi_001 seed=7 ... tok=56 tps=10.0 correct=False
[122/150] multi_001 seed=42 ... tok=56 tps=10.8 correct=False
[123/150] multi_001 seed=123 ... tok=56 tps=10.4 correct=False
[124/150] multi_002 seed=7 ... tok=36 tps=9.2 correct=False
[125/150] multi_002 seed=42 ... tok=36 tps=9.3 correct=False
[126/150] multi_002 seed=123 ... tok=36 tps=8.6 correct=False
[127/150] multi_003 seed=7 ... tok=68 tps=11.0 correct=True
[128/150] multi_003 seed=42 ... tok=68 tps=10.7 correct=False
[129/150] multi_003 seed=123 ... tok=68 tps=10.8 correct=False
[130/150] multi_004 seed=7 ... tok=56 tps=10.2 correct=False
[131/150] multi_004 seed=42 ... tok=56 tps=10.2 correct=False
[132/150] multi_004 seed=123 ... tok=56 tps=10.5 correct=False
[133/150] multi_005 seed=7 ... tok=44 tps=9.9 correct=True
[134/150] multi_005 seed=42 ... tok=36 tps=9.5 correct=True
[135/150] multi_005 seed=123 ... tok=44 tps=9.4 correct=True
[136/150] multi_006 seed=7 ... tok=48 tps=10.0 correct=False
[137/150] multi_006 seed=42 ... tok=44 tps=9.5 correct=False
[138/150] multi_006 seed=123 ... tok=52 tps=9.9 correct=False
[139/150] multi_007 seed=7 ... tok=24 tps=8.2 correct=True
[140/150] multi_007 seed=42 ... tok=24 tps=8.1 correct=True
[141/150] multi_007 seed=123 ... tok=24 tps=8.4 correct=True
[142/150] multi_008 seed=7 ... tok=24 tps=8.3 correct=True
[143/150] multi_008 seed=42 ... tok=24 tps=8.3 correct=True
[144/150] multi_008 seed=123 ... tok=24 tps=7.9 correct=True
[145/150] multi_009 seed=7 ... tok=20 tps=8.0 correct=True
[146/150] multi_009 seed=42 ... tok=20 tps=7.3 correct=True
[147/150] multi_009 seed=123 ... tok=20 tps=7.4 correct=True
[148/150] multi_010 seed=7 ... tok=14 tps=7.3 correct=True
[149/150] multi_010 seed=42 ... tok=14 tps=7.0 correct=True
[150/150] multi_010 seed=123 ... tok=14 tps=7.3 correct=True
[sweep] wrote results/qwen3.5-4B-nothinking/captures.json (150 captures, 107 correct)
[sweep] wrote layer_ranking.md / .json
{
  "n_layers": 32,
  "n_runs": 150,
  "n_correct": 107,
  "accuracy": 0.7133333333333334,
  "elapsed_s": 478.43858099984936,
  "use_chat_template": true,
  "enable_thinking": false,
  "stop_sequences": [
    "<|im_end|>"
  ]
}
